id,followers_count,comment_count,post_count,like_count,friends_count,group_count,posts_count,reposts_count,videos_count,audios_count,photos_count,gifts_count
1031,140,1,17680,352,79,0,108,927,36,287,142,0
1032,179,3,700,135,36,0,30,342,8,0,203,0
1033,305,13,800,820,82,144,112,292,300,55,1133,45
1034,23,974,10,9,30,44,4,4,54,111,0,0
1035,135,5,800,303,88,236,43,401,286,0,995,0
1036,8,21,1097,127,20,0,178,172,0,3,119,7
1037,88,1,3497,1300,49,0,54,772,19,254,1382,33
1038,56,46,400,31,46,82,29,371,7,0,39,0
1039,594,46,985,68,194,0,43,394,5,29,212,0
1040,262,2,700,119,166,80,20,479,44,0,724,0
1041,25,3888,745,138,34,204,18,74,87,0,3,0
1042,88,25,1300,1202,175,266,16,894,17,195,629,0
1043,73,2,1500,360,87,0,60,1373,196,1045,125,0
1044,157,1,899,178,248,1746,32,376,181,143,573,23
1045,73,7,800,326,456,1420,65,503,90,0,393,0
1046,958,1,35798,12,150,8896,12,2065,2215,435,158,11
1047,2600,68,2700,22,3133,1574,531,192,91,658,450,51
1048,18,2,699,27,41,0,352,61,0,0,14,0
1049,153,1,900,9088,43,0,13,390,95,0,87,0
1050,29,2529,287,3,28,92,14,0,214,0,25,0
1051,73,25,2800,726,13,410,352,1466,33,99,789,0
1052,60,554,75,322,269,508,12,59,161,0,46,0
1053,6,1541,300,189,6,292,9,127,10,0,90,0
1054,59,12,772,21,32,0,606,156,380,2625,128,0
1055,66,32,1502,143,105,0,50,485,18,19,733,29
1056,72,1,900,156,40,0,166,608,11,0,530,0
1057,11,1358,44,102,3,52,1,10,8,0,3,0
1058,24,276,1800,477,40,262,107,1594,43,0,378,0
1059,18,573,31,554,4,0,11,9,64,0,25,0
1060,51,37,6367,1120,51,0,37,1961,313,0,1554,36
1061,54,1005,7364,4,48,0,4,1475,625,0,103,5
1062,9,78,1138,67,16,0,332,606,12,533,54,11
1063,76,1,1400,615,292,0,522,525,0,27,751,3
1064,14,14,784,874,45,0,37,641,38,0,1,0
1065,49,7,878,129,17,0,98,780,220,0,13,0
1066,0,7,393,199,47,0,2,391,23,43,14,0
1067,0,3,554,31,4,194,50,504,43,92,214,11
1068,721,2,600,573,520,518,279,96,159,0,1874,0
1069,218,302,602,30,1110,436,160,254,352,133,2154,0
1070,85,460,399,204,61,142,154,245,100,0,444,0
1071,69,2915,100,626,47,96,1,16,37,0,64,0
1072,51,2,600,666,101,152,60,329,58,16,119,0
1073,48,1,3505,124,89,0,60,864,480,15,246,40
1074,161,19,9214,3366,190,602,161,1258,1219,0,2118,0
1075,789,191,3135,832,212,370,389,693,44,220,990,0
1076,993,90,14538,396,180,284,261,1588,231,244,1593,0
1077,42,4,4369,78,155,0,56,653,57,183,226,32
1078,95,2053,4300,111,1081,102,44,2621,550,126,513,0
1079,7232,4,2500,1588,65,434,1605,61,0,0,106,700
1080,322,6,18300,4855,189,0,3,13588,112,150,1369,14
1081,101,1,500,80,108,332,58,332,1609,1566,353,0
1082,237,1,3581,148,617,284,202,941,452,0,838,59
1083,412,1,600,3015,264,320,333,245,74,4488,625,0
1084,28,173,2599,258,137,732,190,1358,1352,572,243,0
1085,106,1020,300,166,53,280,135,66,28,0,1953,0
1086,37,13,800,837,47,1228,117,391,96,0,1062,0
1087,37,17,1399,995,32,0,2,1026,43,0,137,0
1088,1670,13,500,8124,29,0,108,284,7261,10000,373,62
1089,14,21,1600,58,6,0,335,819,174,247,576,0
1090,54,86,2620,389,26,0,6,370,693,250,657,18
1091,339,8,600,633,269,2182,52,548,1064,0,2183,33
1092,655,155,500,5788,549,784,36,282,131,150,488,0
1093,832,35,800,628,217,258,7,560,511,0,176,0
1094,326,1707,400,1843,182,1100,78,132,232,1685,2220,0
1095,412,7,599,31,22,0,23,339,332,1087,624,0
1096,310,56,1500,9038,76,636,244,774,184,0,1805,0
1097,324,10,399,542,13,0,4,395,207,1012,21,0
1098,137,4,4666,238,2,0,41,373,384,0,473,0
1099,86,44,1000,1656,26,512,71,929,809,0,1619,0
1100,5,6,755,420,32,1470,594,143,144,1658,414,37
1101,70,1,599,309,24,0,10,463,102,2022,39,22
1102,9,9,7201,1240,45,404,216,3435,114,398,325,0
1103,12,10,2000,401,44,480,75,773,302,0,1035,0
1104,8,2,2400,4162,26,0,0,908,26,0,31,0
1105,43,772,120,16,8,140,6,22,59,0,43,0
1106,2,6,845,17,844,0,271,225,5,0,448,0
1107,102,20,1099,260,66,1346,143,453,724,1403,2285,0
1108,33,1,410,5,17,52,32,337,3,102,406,5
1109,42,51,1600,400,45,0,99,766,12,4,764,6
1110,14,9,900,1098,25,0,1,599,12,0,1,0
1111,3,1,1676,87,27,0,113,1045,4,0,123,1
1112,54,6,2567,176,64,2830,12,1854,1400,756,10,0
1113,165,17,1798,2943,33,368,306,674,97,0,546,34
1114,1,4,399,516,62,0,43,356,203,211,76,0
1115,4,23,609,29,1,298,7,602,0,0,29,1
1116,19,3,961,64,4,0,14,758,10,0,34,0
1117,0,1,394,207,3,0,197,197,71,0,351,0
1118,121,3779,100,533,77,46,17,5,44,0,698,0
1119,344,127,400,374,870,1190,26,374,155,790,648,0
1120,687,54,699,48,1215,314,180,200,30,0,1465,0
1121,169,322,300,139,308,140,22,140,159,0,1078,0
1122,64,4,400,181,106,114,2,398,76,0,32,0
1123,84,22,9131,83,404,0,688,263,616,0,10684,17
1124,430,463,300,1883,287,446,11,123,347,0,260,19
1125,74,3179,100,30,243,56,10,2,102,0,363,0
1126,365,5,800,1676,704,520,21,779,69,0,120,0
1127,69,32,598,131,246,478,143,239,283,15,2355,35
1128,9,88,1300,225,157,100,24,691,191,0,952,0
1129,289,5,2599,215,310,1358,190,1333,511,0,874,0
1130,66,21,1775,439,10,0,243,132,53,42,83,24
1131,53,11,2399,135,97,68,36,1635,28,0,262,19
1132,148,37,9349,606,8,0,52,2828,754,1393,449,23
1133,9,1,1000,42,20,94,16,526,2,0,343,1
1134,308,11,399,672,248,7906,79,305,431,0,59,67
1135,71,22,400,59,146,86,168,188,9,0,60,0
1136,26,476,1599,204,116,94,26,997,8,0,1917,0
1137,1112,2,500,151,196,0,489,11,239,0,3564,40
1138,31,868,100,251,119,112,35,14,276,0,208,47
1139,96,1,1200,1581,214,202,8,735,486,116,270,34
1140,78,795,1700,3160,5,278,6,1049,60,0,77,0
1141,0,115,2000,589,13,0,324,163,984,1347,2197,60
1142,1155,27,500,1096,711,926,22,412,685,0,351,0
1143,10,7,600,932,164,68,122,319,157,0,3001,22
1144,336,5,4528,130,1617,418,759,840,149,1557,1749,14
1145,149,17,10600,10064,107,2892,51,7389,870,6598,852,0
1146,56,43,1300,360,36,0,63,848,108,0,368,0
1147,51,19,1600,975,24,566,294,982,405,644,69,13
1148,125,2,700,1092,64,622,96,443,219,0,2143,0
1149,81,2195,80,1028,208,0,15,43,29,0,2,0
1150,155,18,700,525,94,0,100,600,305,2833,1719,79
1151,404,69,800,131,106,1286,86,425,1355,0,625,0
1152,67,59,799,26,72,908,19,542,824,321,29,25
1153,19,55,800,119,15,0,625,15,41,130,240,11
1154,94,2,2699,848,20,1052,238,1714,209,913,731,5
1155,25,3,799,15,13,0,199,173,38,31,41,47
1156,128,17,599,334,42,0,37,341,282,900,25,3
1157,291,8,4000,578,99,792,535,1965,647,0,531,0
1158,67,9,699,492,25,0,228,262,44,0,455,0
1159,47,1,6800,44,428,158,2307,3055,7,4,6112,4
1160,49,27,7048,11,11,0,3277,3073,384,0,3019,0
1161,5,1,376,62,10,178,52,324,1,0,116,0
1162,83,5,600,1245,501,120,48,448,336,483,860,0
1163,3839,8,4577,73,3258,0,28,343,1758,711,2177,44
1164,153,794,199,237,101,270,1,82,24,0,15,0
1165,5975,4,5817,59,667,0,669,129,1626,0,12634,263
1166,164,48,900,588,200,58,106,363,266,339,389,0
1167,80,11,2741,3801,8,0,106,378,243,173,678,0
1168,40,300,811,56,577,28,362,152,251,215,1451,41
1169,350,53,400,2325,123,628,51,349,1087,0,1090,0
1170,203,11,53253,1141,990,1320,6128,12784,1368,4,386,4
1171,67,105,6835,402,24,0,96,469,235,0,882,0
1172,233,26,700,466,305,206,29,468,118,147,1411,35
1173,49,113,700,472,95,130,12,242,38,34,113,0
1174,2770,10,899,3462,311,2390,75,474,6658,5879,7816,0
1175,285,12,400,11916,116,1134,284,116,400,0,448,0
1176,57,8,699,152,102,712,29,349,138,20,269,0
1177,241,5,400,471,268,230,86,314,515,0,2784,0
1178,20,24,699,123,38,88,97,541,32,52,226,11
1179,52,175,600,52,729,1064,148,114,174,630,1007,42
1180,0,47,400,1816,105,404,300,100,928,0,353,0
1181,13,7,1300,1400,20,0,131,614,24,2269,798,0
1182,116,34,1499,753,80,0,1,833,351,0,148,0
1183,5,19,3547,1680,6,62,32,3214,14,0,31,0
1184,18,2,1499,265,80,0,53,671,1089,1591,1053,13
1185,32,116,900,499,366,264,472,85,176,346,944,3
1186,64,39,2400,1681,32,0,87,1785,64,423,2198,0
1187,76,4,1400,173,1209,794,373,547,1212,1598,15634,0
1188,62,2447,300,15,94,70,0,300,19,423,183,0
1189,992,38,12530,405,24,0,18,328,1776,1719,252,103
1190,409,297,1100,2221,148,2296,2,1098,619,0,386,0
1191,1466,4,384,318,115,0,86,287,3259,0,2535,229
1192,0,10,572,24,47,0,3,540,1232,0,3,5
